,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2021,Jul,WA,"20,007","13,904",552,"2,480",380,"5,340","6,393",197,"1,509",199
2021,Jul,TAS,"5,054","7,342",143,142,88,"1,239","3,432",47,110,60
2021,Jul,NT,"1,848","1,979",78,79,33,357,877,19,55,29
2021,Jul,ACT,"10,904","4,273",205,167,113,"3,585","1,978",33,112,59
2021,Jul Total,,"346,227","241,700","13,019","32,180","11,819","88,173","95,862","3,332","19,086","5,537"
2021,Aug,NSW,"133,128","96,317","3,049","14,180","5,949","36,019","37,994","1,028","9,251","2,726"
2021,Aug,VIC,"113,718","79,435","4,690","9,837","3,591","29,501","33,167",476,"5,651","1,972"
2021,Aug,QLD,"47,125","35,027","2,777","6,088","1,097","13,743","14,751",943,"3,697",585
2021,Aug,SA,"22,161","11,652","1,536","1,352","1,220","6,107","5,499",600,846,559
2021,Aug,WA,"20,081","14,460",552,"2,634",403,"5,414","6,949",197,"1,663",222
2021,Aug,TAS,"5,060","7,678",143,156,88,"1,245","3,768",47,124,60
2021,Aug,NT,"1,979","1,985",79,86,33,488,883,20,62,29
2021,Aug,ACT,"11,245","4,541",206,174,113,"3,926","2,246",34,119,59
2021,Aug Total,,"354,497","251,095","13,032","34,507","12,494","96,443","105,257","3,345","21,413","6,212"
2021,Sep,NSW,"137,463","98,720","3,052","15,049","6,055","40,354","40,397","1,031","10,120","2,832"
2021,Sep,VIC,"114,730","82,836","4,690","10,173","3,640","30,513","36,568",476,"5,987","2,021"
2021,Sep,QLD,"47,469","36,344","2,777","6,536","1,113","14,087","16,068",943,"4,145",601
2021,Sep,SA,"22,481","12,109","1,536","1,418","1,220","6,427","5,956",600,912,559
2021,Sep,WA,"20,204","15,042",552,"2,749",403,"5,537","7,531",197,"1,778",222
2021,Sep,TAS,"5,068","7,882",143,156,88,"1,253","3,972",47,124,60
2021,Sep,NT,"2,014","2,044",79,90,33,523,942,20,66,29
2021,Sep,ACT,"11,292","4,648",207,175,113,"3,973","2,353",35,120,59
2021,Sep Total,,"360,721","259,625","13,036","36,346","12,665","102,667","113,787","3,349","23,252","6,383"
2021,Oct,NSW,"137,906","103,777","3,069","16,023","6,414","40,797","45,454","1,048","11,094","3,191"
2021,Oct,VIC,"115,936","86,076","4,698","10,827","3,742","31,719","39,808",484,"6,641","2,123"
2021,Oct,QLD,"47,863","37,709","2,791","7,038","1,176","14,481","17,433",957,"4,647",664
2021,Oct,SA,"22,573","12,706","1,541","1,520","1,297","6,519","6,553",605,"1,014",636
2021,Oct,WA,"20,330","15,861",558,"2,877",403,"5,663","8,350",203,"1,906",222
2021,Oct,TAS,"5,075","8,160",143,182,88,"1,260","4,250",47,150,60
2021,Oct,NT,"2,014","2,106",79,91,33,523,"1,004",20,67,29
2021,Oct,ACT,"11,316","4,877",209,190,129,"3,997","2,582",37,135,75
2021,Oct Total,,"363,013","271,272","13,088","38,748","13,282","104,959","125,434","3,401","25,654","7,000"
2021,Nov,NSW,"139,058","107,141","3,071","17,000","6,636","41,949","48,818","1,050","12,071","3,413"
2021,Nov,VIC,"116,853","88,945","4,700","11,641","3,750","32,636","42,677",486,"7,455","2,131"
2021,Nov,QLD,"48,229","38,917","2,792","7,439","1,185","14,847","18,641",958,"5,048",673
2021,Nov,SA,"22,716","13,266","1,541","1,673","1,299","6,662","7,113",605,"1,167",638
2021,Nov,WA,"20,383","16,226",558,"3,045",404,"5,716","8,715",203,"2,074",223
2021,Nov,TAS,"5,108","8,448",143,199,97,"1,293","4,538",47,167,69
2021,Nov,NT,"2,022","2,165",79,94,38,531,"1,063",20,70,34
2021,Nov,ACT,"11,327","5,141",209,215,132,"4,008","2,846",37,160,78
2021,Nov Total,,"365,696","280,249","13,093","41,306","13,541","107,642","134,411","3,406","28,212","7,259"
2021,Dec,NSW,"139,128","107,541","3,073","17,331","6,636","42,019","49,218","1,052","12,402","3,413"
2021,Dec,VIC,"117,022","89,860","4,700","11,737","3,753","32,805","43,592",486,"7,551","2,134"
2021,Dec,QLD,"48,259","39,394","2,794","7,497","1,185","14,877","19,118",960,"5,106",673
2021,Dec,SA,"22,751","13,379","1,548","1,698","1,299","6,697","7,226",612,"1,192",638
2021,Dec,WA,"20,398","16,328",559,"3,079",404,"5,731","8,817",204,"2,108",223
2021,Dec,TAS,"5,120","8,567",143,200,97,"1,305","4,657",47,168,69
2021,Dec,NT,"2,024","2,167",87,95,38,533,"1,065",28,71,34
2021,Dec,ACT,"11,349","5,183",209,215,132,"4,030","2,888",37,160,78
2021,Dec Total,,"366,051","282,419","13,113","41,852","13,544","107,997","136,581","3,426","28,758","7,262"
2021 Total,,,"3,990,808","2,766,052","153,762","370,459","135,657","894,160","1,015,996","37,518","213,331","60,273"
2022,Jan,NSW,"83,365","58,240","1,804","3,444","2,817","1,262","8,136",573,"1,099",466
2022,Jan,VIC,"65,807","42,786","2,826","2,506","1,531",835,"5,699",392,632,498
2022,Jan,QLD,"28,507","19,380","1,837","1,362",299,716,"2,881",622,448,37
2022,Jan,SA,"13,041","6,853","1,008",439,381,305,"1,026",384,120,4
2022,Jan,WA,"11,407","8,251",346,612,66,190,"1,633",110,187,12
2022,Jan,TAS,"2,851","4,281",62,37,46,104,385,0,15,0
2022,Jan,NT,"1,317","1,113",55,6,12,23,237,6,4,3
2022,Jan,ACT,"6,592","2,741",115,49,47,116,230,23,18,0
2022,Jan Total,,"212,887","143,645","8,053","8,455","5,199","3,551","20,227","2,110","2,523","1,020"
2022,Feb,NSW,"102,854","63,059","1,954","4,617","3,547","20,751","12,955",723,"2,272","1,196"
2022,Feb,VIC,"83,580","46,366","2,866","3,285","2,197","18,608","9,279",432,"1,411","1,164"
2022,Feb,QLD,"34,811","21,002","1,853","1,779",449,"7,020","4,503",638,865,187
2022,Feb,SA,"17,394","7,477","1,072",563,533,"4,658","1,650",448,244,156
2022,Feb,WA,"15,267","8,668",357,739,195,"4,050","2,050",121,314,141
2022,Feb,TAS,"3,683","4,731",112,51,99,936,835,50,29,53
2022,Feb,NT,"1,575","1,135",64,9,20,281,259,15,7,11
2022,Feb,ACT,"8,786","3,220",117,57,60,"2,310",709,25,26,13
2022,Feb Total,,"267,950","155,658","8,395","11,100","7,100","58,614","32,240","2,452","5,168","2,921"
2022,Mar,NSW,"107,866","65,139","1,960","6,129","3,829","25,763","15,035",729,"3,784","1,478"
2022,Mar,VIC,"85,830","49,858","2,871","4,392","2,255","20,858","12,771",437,"2,518","1,222"
2022,Mar,QLD,"36,734","22,235","1,856","2,684",651,"8,943","5,736",641,"1,770",389
2022,Mar,SA,"17,773","8,074","1,079",738,697,"5,037","2,247",455,419,320
2022,Mar,WA,"15,486","9,224",357,921,196,"4,269","2,606",121,496,142
2022,Mar,TAS,"3,710","5,023",113,89,99,963,"1,127",51,67,53
2022,Mar,NT,"1,659","1,175",64,13,20,365,299,15,11,11
2022,Mar,ACT,"8,849","3,391",118,69,60,"2,373",880,26,38,13
2022,Mar Total,,"277,907","164,119","8,418","15,035","7,807","68,571","40,701","2,475","9,103","3,628"
2022,Apr,NSW,"108,338","73,870","2,106","8,166","3,908","26,235","23,766",875,"5,821","1,557"
2022,Apr,VIC,"86,118","54,423","2,971","5,705","2,261","21,146","17,336",537,"3,831","1,228"
2022,Apr,QLD,"36,892","24,239","2,069","3,916",651,"9,101","7,740",854,"3,002",389
2022,Apr,SA,"17,899","8,921","1,082",943,697,"5,163","3,094",458,624,320
2022,Apr,WA,"15,548","10,565",374,"1,266",240,"4,331","3,947",138,841,186
2022,Apr,TAS,"3,713","5,415",113,94,99,966,"1,519",51,72,53
2022,Apr,NT,"1,659","1,281",65,20,20,365,405,16,18,11
2022,Apr,ACT,"8,883","3,813",134,102,60,"2,407","1,302",42,71,13
2022,Apr Total,,"279,050","182,527","8,914","20,212","7,936","69,714","59,109","2,971","14,280","3,757"
2022,May,NSW,"110,769","78,376","2,127","10,136","4,054","28,666","28,272",896,"7,791","1,703"
2022,May,VIC,"86,830","57,944","2,972","7,137","2,268","21,858","20,857",538,"5,263","1,235"
2022,May,QLD,"37,371","25,809","2,073","4,919",685,"9,580","9,310",858,"4,005",423
2022,May,SA,"18,213","9,635","1,157","1,090",697,"5,477","3,808",533,771,320
2022,May,WA,"15,723","11,086",377,"1,502",243,"4,506","4,468",141,"1,077",189
2022,May,TAS,"3,728","5,801",119,112,99,981,"1,905",57,90,53
2022,May,NT,"1,659","1,341",65,24,20,365,465,16,22,11
2022,May,ACT,"8,905","4,015",135,115,60,"2,429","1,504",43,84,13
2022,May Total,,"283,198","194,007","9,025","25,035","8,126","73,862","70,589","3,082","19,103","3,947"
2022,Jun,NSW,"111,624","79,885","2,140","11,816","4,266","29,521","29,781",909,"9,471","1,915"
2022,Jun,VIC,"87,457","60,296","2,974","8,129","2,392","22,485","23,209",540,"6,255","1,359"
2022,Jun,QLD,"37,546","26,708","2,074","5,927",728,"9,755","10,209",859,"5,013",466
2022,Jun,SA,"18,352","10,117","1,158","1,221",718,"5,616","4,290",534,902,341
2022,Jun,WA,"15,913","11,449",379,"1,784",252,"4,696","4,831",143,"1,359",198
2022,Jun,TAS,"3,757","6,007",119,121,113,"1,010","2,111",57,99,67
2022,Jun,NT,"1,723","1,350",65,31,20,429,474,16,29,11
2022,Jun,ACT,"8,967","4,097",135,117,64,"2,491","1,586",43,86,17
2022,Jun Total,,"285,339","199,909","9,044","29,146","8,553","76,003","76,491","3,101","23,214","4,374"
2022 Total,,,"1,606,331","1,039,865","51,849","108,983","44,721","350,315","299,357","16,191","73,391","19,647"
Grand Total,,,"14,728,927","9,215,896","713,664","2,710,101","951,154","3,824,719","3,698,212","252,570","1,590,033","557,944"
