,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2019,Aug,SA,"23,243","7,564","2,746","3,651","2,568","9,594","4,175","1,428","2,469","1,626"
2019,Aug,WA,"24,351","13,099",826,"7,336","2,306","10,196","7,065",422,"4,908","1,936"
2019,Aug,TAS,"6,551","5,839",375,634,227,"2,497","3,453",205,506,202
2019,Aug,NT,"1,850",973,105,259,55,653,652,30,166,40
2019,Aug,ACT,"13,182","2,616",516,932,780,"4,872","1,551",115,564,504
2019,Aug Total,,"421,138","234,471","24,645","116,850","43,935","157,459","121,503","11,053","77,664","31,448"
2019,Sep,NSW,"153,468","103,057","5,701","51,934","19,546","56,973","52,573","3,001","36,873","13,451"
2019,Sep,VIC,"150,753","74,419","8,863","36,839","12,140","57,758","42,519","2,494","24,876","8,948"
2019,Sep,QLD,"54,669","37,734","5,534","26,683","7,396","21,845","20,345","3,379","18,720","5,824"
2019,Sep,SA,"23,715","8,094","2,747","3,994","2,576","10,066","4,705","1,429","2,812","1,634"
2019,Sep,WA,"24,456","13,744",828,"8,304","2,323","10,301","7,710",424,"5,876","1,953"
2019,Sep,TAS,"6,584","6,263",376,648,227,"2,530","3,877",206,520,202
2019,Sep,NT,"1,852","1,070",105,278,55,655,749,30,185,40
2019,Sep,ACT,"13,221","2,700",518,958,780,"4,911","1,635",117,590,504
2019,Sep Total,,"428,718","247,081","24,672","129,638","45,043","165,039","134,113","11,080","90,452","32,556"
2019,Oct,NSW,"154,758","111,607","5,944","56,261","20,756","58,263","61,123","3,244","41,200","14,661"
2019,Oct,VIC,"152,231","80,057","8,976","40,230","12,331","59,236","48,157","2,607","28,267","9,139"
2019,Oct,QLD,"55,655","40,173","5,763","28,884","7,633","22,831","22,784","3,608","20,921","6,061"
2019,Oct,SA,"23,934","8,746","2,820","4,394","2,926","10,285","5,357","1,502","3,212","1,984"
